,publication,title,authors,doi,year,cites,type,abstract,article_url,fulltext_url,abstractLength,crossref
4,ChemInform,ChemInform Abstract: Present Status of Lyme Borreliosis and Characterization of Lyme Disease Borrelia Isolated in Japan,['T. MASUZAWA'],10.1002/chin.199745342,2010,0,journal-article,,http://dx.doi.org/10.1002/chin.199745342,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1002%2Fchin.199745342,,1
5,European Journal of Neurology,The diagnostic spectrum in patients with suspected chronic Lyme neuroborreliosis - the experience from one year of a university hospital’s Lyme neuroborreliosis outpatients clinic,"['M. Djukic', 'C. Schmidt-Samoa', 'R. Nau', 'N. von Steinbüchel', 'H. Eiffert', 'H. Schmidt']",10.1111/j.1468-1331.2010.03229.x,2010,26,journal-article,,http://dx.doi.org/10.1111/j.1468-1331.2010.03229.x,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1468-1331.2010.03229.x,,1
9,The FASEB Journal,"The Lyme disease chronicles, continued: Chronic Lyme disease: in defense of the patient enterprise","['Raphael B. Stricker', 'Lorraine Johnson']",10.1096/fj.10.1202ltr,2010,0,journal-article,,http://dx.doi.org/10.1096/fj.10.1202ltr,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1096%2Ffj.10.1202LTR,,1
13,The FASEB Journal,"The Lyme disease chronicles, continued Chronic Lyme disease: in defense of the patient enterprise","['Raphael B. Stricker', 'Lorraine Johnson']",10.1096/fj.10-1202ltr,2010,3,journal-article,,http://dx.doi.org/10.1096/fj.10-1202ltr,,,1
14,Journal of Neuroimaging,Stroke Due to Lyme Neuroborreliosis: Changes in Vessel Wall Contrast Enhancement,"['Axel Lebas', 'Frédérique Toulgoat', 'Guillaume Saliou', 'Béatrice Husson', 'Marc Tardieu']",10.1111/j.1552-6569.2010.00550.x,2010,29,journal-article,,http://dx.doi.org/10.1111/j.1552-6569.2010.00550.x,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1552-6569.2010.00550.x,,1
15,NASN School Nurse,You Can Make a Difference to a Child by Reducing Risk of Lyme Disease,,10.1177/1942602x10364664,2010,0,journal-article,,http://dx.doi.org/10.1177/1942602x10364664,http://journals.sagepub.com/doi/pdf/10.1177/1942602X10364664,,1
16,Nature,Scientists push for Lyme disease trials,['Amy Maxmen'],10.1038/news.2010.542,2010,0,journal-article,,http://dx.doi.org/10.1038/news.2010.542,http://www.nature.com/articles/news.2010.542.pdf,,1
18,Infection,"Isolation of Borrelia burgdorferi sensu lato from blood of adult patients with borrelial lymphocytoma, Lyme neuroborreliosis, Lyme arthritis and acrodermatitis chronica atrophicans","['V. Maraspin', 'K. Ogrinc', 'E. Ružić-Sabljić', 'S. Lotrič-Furlan', 'F. Strle']",10.1007/s15010-010-0062-8,2010,23,journal-article,,http://dx.doi.org/10.1007/s15010-010-0062-8,http://link.springer.com/content/pdf/10.1007/s15010-010-0062-8.pdf,,1
20,Journal of Clinical Microbiology,A Twist on Lyme: the Challenge of Diagnosing European Lyme Neuroborreliosis,"['N. Makhani', 'S. K. Morris', 'A. V. Page', 'J. Brophy', 'L. R. Lindsay', 'B. L. Banwell', 'S. E. Richardson']",10.1128/jcm.01584-10,2010,24,journal-article,,http://dx.doi.org/10.1128/jcm.01584-10,https://syndication.highwire.org/content/doi/10.1128/JCM.01584-10,,1
23,The Nurse Practitioner,Lyme disease,['Virginia Savely'],10.1097/01.npr.0000383661.45156.09,2010,3,journal-article,,http://dx.doi.org/10.1097/01.npr.0000383661.45156.09,http://journals.lww.com/00006205-201007000-00012,,1
24,Krankenhaus-Hygiene + Infektionsverhütung,Klinik der Lyme-Borreliose,['BW'],10.1016/j.khinf.2009.12.004,2010,0,journal-article,,http://dx.doi.org/10.1016/j.khinf.2009.12.004,https://api.elsevier.com/content/article/PII:S0720337309002629,,1
25,Clinical Infectious Diseases,Antibiotic Treatment Duration and Long‐Term Outcomes of Patients with Early Lyme Disease from a Lyme Disease–Hyperendemic Area,"['Todd\xa0J. Kowalski', 'Sujatha Tata', 'Wendy Berth', 'Michelle\xa0A. Mathiason', 'William\xa0A. Agger']",10.1086/649920,2010,56,journal-article,,http://dx.doi.org/10.1086/649920,http://academic.oup.com/cid/article-pdf/50/4/512/1006882/50-4-512.pdf,,1
27,Pediatric News,Lyme Prophylaxis Risk Often Outweighs Benefit,['BRUCE JANCIN'],10.1016/s0031-398x(10)70402-1,2010,0,journal-article,,http://dx.doi.org/10.1016/s0031-398x(10)70402-1,http://api.elsevier.com/content/article/PII:S0031398X10704021,,1
28,Equine Veterinary Education,Borreliosis (Lyme disease) in horses,['N. D. Cohen'],10.1111/j.2042-3292.1996.tb01853.x,2010,0,journal-article,,http://dx.doi.org/10.1111/j.2042-3292.1996.tb01853.x,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.2042-3292.1996.tb01853.x,,1
29,FEMS Immunology & Medical Microbiology,Significant differences between the Borrelia-infection and Borrelia-vaccination and -infection models of Lyme arthritis in C3H/HeN mice,"['Dean T. Nardelli', 'Joshua O. Luedtke', 'Erik L. Munson', 'Thomas F. Warner', 'Steven M. Callister', 'Ronald F. Schell']",10.1111/j.1574-695x.2010.00721.x,2010,9,journal-article,,http://dx.doi.org/10.1111/j.1574-695x.2010.00721.x,http://academic.oup.com/femspd/article-pdf/60/1/78/19172181/60-1-78.pdf,,1
31,Proceedings in Obstetrics and Gynecology,Pregnancy and Lyme disease,['Nicholas Leslein'],10.17077/2154-4751.1011,2010,1,journal-article,,http://dx.doi.org/10.17077/2154-4751.1011,,,1
33,Family Practice News,Lyme Prophylaxis Risk Often Outweighs Benefit,['BRUCE JANCIN'],10.1016/s0300-7073(10)71009-4,2010,1,journal-article,,http://dx.doi.org/10.1016/s0300-7073(10)71009-4,https://api.elsevier.com/content/article/PII:S0300707310710094,,1
34,Skin & Allergy News,Lyme Prophylaxis Risk Often Outweighs Potential Benefit,['BRUCE JANCIN'],10.1016/s0037-6337(10)70358-2,2010,0,journal-article,,http://dx.doi.org/10.1016/s0037-6337(10)70358-2,https://api.elsevier.com/content/article/PII:S0037633710703582,,1
35,Current Opinion in Infectious Diseases,Lyme borreliosis: current issues in diagnosis and management,"[""Sue O'Connell""]",10.1097/qco.0b013e32833890e2,2010,31,journal-article,,http://dx.doi.org/10.1097/qco.0b013e32833890e2,https://journals.lww.com/10.1097/QCO.0b013e32833890e2,,1
36,The Journal of Pediatrics,Chronic Lyme disease,['Sarah S. Long'],10.1016/j.jpeds.2010.10.024,2010,0,journal-article,,http://dx.doi.org/10.1016/j.jpeds.2010.10.024,https://api.elsevier.com/content/article/PII:S0022347610009157,,1
37,Nature Reviews Rheumatology,Treating pediatric Lyme arthritis,['Nick Warde'],10.1038/nrrheum.2010.73,2010,0,journal-article,,http://dx.doi.org/10.1038/nrrheum.2010.73,http://www.nature.com/articles/nrrheum.2010.73.pdf,,1
