,publication,title,authors,doi,year,cites,type,abstract,article_url,fulltext_url,abstractLength,scopus
4,International Journal of Health Geographics,"Pathogenic landscapes: Interactions between land, people, disease vectors, and their animal hosts","[{'name': 'E.F. Lambin', 'affiliation': 'Stanford University, Palo Alto, United States'}]",10.1186/1476-072X-9-54,2010,228,Article,,,,,1
5,Nature Immunology,An intravascular immune response to Borrelia burgdorferi involves Kupffer cells and iNKT cells,"[{'name': 'W. Lee', 'affiliation': 'University of Calgary, Calgary, Canada'}]",10.1038/ni.1855,2010,224,Article,,,,,1
7,Journal of Clinical Investigation,Selective ablation of basophils in mice reveals their nonredundant role in acquired immunity against ticks,"[{'name': 'T. Wada', 'affiliation': 'Tokyo Medical and Dental University, Tokyo, Japan'}]",10.1172/JCI42680,2010,211,Article,,,,,1
8,Journal of Experimental Biology,"Diversity, decoys and the dilution effect: How ecological communities affect disease risk","[{'name': 'P. Johnson', 'affiliation': 'University of Colorado Boulder, Boulder, United States'}]",10.1242/jeb.037721,2010,206,Article,,,,,1
11,PLoS ONE,Vitamin C: Intravenous use by complementary and alternative medicine practitioners and adverse effects,"[{'name': 'S. Padayatty', 'affiliation': 'National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), Bethesda, United States'}]",10.1371/journal.pone.0011414,2010,179,Article,,,,,1
14,Geospatial Health,"The utility of ""Google Trends"" for epidemiological research: Lyme disease as an example","[{'name': 'A. Seifter', 'affiliation': 'Lyme Disease Research Foundation of Maryland, United States'}]",10.4081/gh.2010.195,2010,133,Article,,,,,1
16,Oecologia,Altitudinal patterns of tick and host abundance: A potential role for climate change in regulating tick-borne diseases?,"[{'name': 'L. Gilbert', 'affiliation': 'The James Hutton Institute, Aberdeen, United Kingdom'}]",10.1007/s00442-009-1430-x,2010,128,Article,,,,,1
17,American Journal of Medicine,Subjective Symptoms after Treatment of Early Lyme Disease,"[{'name': 'D. Cerar', 'affiliation': 'Univerzitetni Klinični Center Ljubljana, Ljubljana, Slovenia'}]",10.1016/j.amjmed.2009.05.011,2010,128,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0002934309005026,,,1
18,Global Ecology and Biogeography,"Field and climate-based model for predicting the density of host-seeking nymphal Ixodes scapularis, an important vector of tick-borne disease agents in the eastern United States","[{'name': 'M.A. Diuk-Wasser', 'affiliation': 'Yale University, New Haven, United States'}]",10.1111/j.1466-8238.2010.00526.x,2010,123,Article,,,,,1
21,Environmental Health Perspectives,Active and passive surveillance and phylogenetic analysis of Borrelia burgdorferi elucidate the process of lyme disease risk emergence in Canada,"[{'name': 'N.H. Ogden', 'affiliation': 'Agence de la santé publique du Canada, Ottawa, Canada'}]",10.1289/ehp.0901766,2010,118,Article,,,,,1
22,EcoHealth,Invasion of the lyme disease vector ixodes scapularis: Implications for Borrelia burgdorferi endemicity,"[{'name': 'S.A. Hamer', 'affiliation': 'Michigan State University, East Lansing, United States'}]",10.1007/s10393-010-0287-0,2010,101,Article,,,,,1
24,American Journal of Veterinary Research,"Performance of a commercially available in-clinic ELISA for the detection of antibodies against Anaplasma phagocytophilum, Ehrlichia canis, and Borrelia burgdorferi and Dirofilaria immitis antigen in dogs","[{'name': 'R. Chandrashekar', 'affiliation': 'IDEXX Laboratories Incorporated, Westbrook, United States'}]",10.2460/ajvr.71.12.1443,2010,81,Article,,,,,1
25,Proceedings of the National Academy of Sciences of the United States of America,Lipid binding orientation within CD1d affects recognition of Borrelia burgorferi antigens by NKT cells,"[{'name': 'J. Wang', 'affiliation': 'La Jolla Institute for Allergy and Immunology, San Diego, United States'}]",10.1073/pnas.0909479107,2010,79,Article,,,,,1
27,PLoS Pathogens,Role of acetyl-phosphate in activation of the Rrp2-RpoN-RpoS pathway in borrelia burgdorferi,"[{'name': 'H. Xu', 'affiliation': 'Indiana University School of Medicine, Indianapolis, United States'}]",10.1371/journal.ppat.1001104,2010,75,Article,,,,,1
28,Cell Host and Microbe,Cholesterol lipids of borrelia burgdorferi form lipid rafts and are required for the bactericidal activity of a complement-independent antibody,"[{'name': 'T. Larocca', 'affiliation': 'Stony Brook University, Stony Brook, United States'}]",10.1016/j.chom.2010.09.001,2010,75,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1931312810003033,,,1
29,Experimental and Applied Acarology,Tick burden on European roe deer (Capreolus capreolus),"[{'name': 'T. Vor', 'affiliation': 'Georg-August-Universität Göttingen, Gottingen, Germany'}]",10.1007/s10493-010-9337-0,2010,75,Article,,,,,1
31,Infection and Immunity,The chemokine receptor CXCR2 ligand KC (CXCL1) mediates neutrophil recruitment and is critical for development of experimental lyme arthritis and carditis,"[{'name': 'A. Ritzman', 'affiliation': 'University of Missouri, Columbia, United States'}]",10.1128/IAI.00798-10,2010,74,Article,,,,,1
32,Antimicrobial Agents and Chemotherapy,Ineffectiveness of tigecycline against persistent Borrelia burgdorferi,"[{'name': 'S. Barthold', 'affiliation': 'University of California, Davis, Davis, United States'}]",10.1128/AAC.00788-09,2010,73,Article,,,,,1
33,PLoS Pathogens,Tick histamine release factor is critical for Ixodes scapularis engorgement and transmission of the Lyme disease agent,"[{'name': 'J. Dai', 'affiliation': 'Yale School of Medicine, New Haven, United States'}]",10.1371/journal.ppat.1001205,2010,72,Article,,,,,1
36,Environmental Microbiology,Isolation and characterization of a novel Borrelia group of tick-borne borreliae from imported reptiles and their associated ticks,"[{'name': 'A. Takano', 'affiliation': 'National Institute of Infectious Diseases, Tokyo, Japan'}]",10.1111/j.1462-2920.2009.02054.x,2010,71,Article,,,,,1
37,Journal of Infectious Diseases,"Complement regulator-acquiring surface protein 1 of borrelia burgdorferi binds to human bone morphogenic protein 2, several extracellular matrix proteins, and plasminogen","[{'name': 'T. Hallström', 'affiliation': 'Departments of Infection Biology'}]",10.1086/653825,2010,70,Article,,,,,1
39,Molecular Microbiology,Identification and function of the RNA chaperone Hfq in the Lyme disease spirochete Borrelia burgdorferi,"[{'name': 'M. Lybecker', 'affiliation': 'Division of Biological Sciences, Missoula, United States'}]",10.1111/j.1365-2958.2010.07374.x,2010,68,Article,,,,,1
40,Journal of Antimicrobial Chemotherapy,Efficacy of antibiotic prophylaxis for the prevention of Lyme disease: An updated systematic review and meta-analysis,"[{'name': 'S. Warshafsky', 'affiliation': 'New York Medical College, Valhalla, United States'}]",10.1093/jac/dkq097,2010,68,Article,,,,,1
42,PLoS ONE,Genotypic Variation and Mixtures of Lyme Borrelia in Ixodes ticks from North America and Europe,"[{'name': 'C.D. Crowder', 'affiliation': 'Ibis Biosciences, Carlsbad, United States'}]",10.1371/journal.pone.0010650,2010,67,Article,,,,,1
45,Clinical Infectious Diseases,Antibiotic treatment duration and long-term outcomes of patients with early lyme disease from a lyme disease-hyperendemic area,"[{'name': 'T. Kowalski', 'affiliation': 'Section of Infectious Disease, La Crosse, United States'}]",10.1086/649920,2010,66,Article,,,,,1
46,Parasites and Vectors,Dynamics of digestive proteolytic system during blood feeding of the hard tick Ixodes ricinus,"[{'name': 'Z. Franta', 'affiliation': 'Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic, Ceske Budejovice, Czech Republic'}]",10.1186/1756-3305-3-119,2010,65,Article,,,,,1
48,Clinical Infectious Diseases,2-Tiered antibody testing for early and late lyme disease using only an immunoglobulin G blot with the addition of a VlsE band as the second-tier test,"[{'name': 'J. Branda', 'affiliation': 'Massachusetts General Hospital, Boston, United States'}]",10.1086/648674,2010,65,Article,,,,,1
49,"Journal of Neurology, Neurosurgery and Psychiatry",The chemokine CXCL13 in acute neuroborreliosis,"[{'name': 'M. Senel', 'affiliation': 'Universität Ulm, Ulm, Germany'}]",10.1136/jnnp.2009.195438,2010,64,Article,,,,,1
50,Vector-Borne and Zoonotic Diseases,Assessment of polymicrobial infections in ticks in New York state,"[{'name': 'R. Tokarz', 'affiliation': 'Columbia University Irving Medical Center, New York, United States'}]",10.1089/vbz.2009.0036,2010,62,Article,,,,,1
51,Journal of Medical Entomology,Survival of Ixodes ricinus (Acari: Ixodidae) under challenging conditions of temperature and humidity is influenced by Borrelia burgdorferi sensu lato infection,"[{'name': 'C. Herrmann', 'affiliation': 'Université de Neuchâtel, Neuchatel, Switzerland'}]",10.1603/ME10111,2010,60,Article,,,,,1
52,Applied and Environmental Microbiology,Coexistence of pathogens in host-seeking and feeding ticks within a single natural habitat in central Germany,"[{'name': 'J. Franke', 'affiliation': 'Friedrich-Schiller-Universität Jena, Jena, Germany'}]",10.1128/AEM.01630-10,2010,60,Article,,,,,1
53,Molecular Microbiology,Analysis of a Borrelia burgdorferi phosphodiesterase demonstrates a role for cyclic-di-guanosine monophosphate in motility and virulence,"[{'name': 'S. Sultan', 'affiliation': 'The Brody School of Medicine, Greenville, United States'}]",10.1111/j.1365-2958.2010.07191.x,2010,60,Article,,,,,1
54,European Journal of Neurology,"Remaining complaints 1 year after treatment for acute Lyme neuroborreliosis; Frequency, pattern and risk factors","[{'name': 'U. Ljøstad', 'affiliation': 'Sørlandet Hospital, Kristiansand, Norway'}]",10.1111/j.1468-1331.2009.02756.x,2010,60,Article,,,,,1
55,Evolution,"Uncoordinated phylogeography of borrelia burgdorferi and its tick vector, Ixodes scapularis","[{'name': 'P. Humphrey', 'affiliation': 'University of Pennsylvania, Philadelphia, United States'}]",10.1111/j.1558-5646.2010.01001.x,2010,59,Article,,,,,1
56,Journal of Vector Ecology,"Detection of lyme disease spirochete, Borrelia burgdorferi sensu lato, including three novel genotypes in ticks (Acari: Ixodidae) collected from songbirds (Passeriformes) across Canada","[{'name': 'J. Scott', 'affiliation': 'Lyme Disease Association of Ontario, Canada'}]",10.1111/j.1948-7134.2010.00068.x,2010,59,Article,,,,,1
59,Evolutionary Applications,Cryptic vector divergence masks vector-specific patterns of infection: An example from the marine cycle of Lyme borreliosis,"[{'name': 'E. Gómez Díaz', 'affiliation': 'IRD Centre de Montpellier, Montpellier, France'}]",10.1111/j.1752-4571.2010.00127.x,2010,53,Article,,,,,1
61,Journal of Neuroimmunology,Lymphoid chemokines in the CNS,"[{'name': 'S. Lalor', 'affiliation': 'University of Michigan, Ann Arbor, Ann Arbor, United States'}]",10.1016/j.jneuroim.2010.05.017,2010,52,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0165572810002018,,,1
62,Journal of Infectious Diseases,Recognition of borrelia burgdorferi by NOD2 is central for the induction of an inflammatory reaction,"[{'name': 'M. Oosting', 'affiliation': 'Radboud Medical Center, Nijmegen, Netherlands'}]",10.1086/652871,2010,52,Article,,,,,1
63,Molecular Microbiology,The crystal structures of two salivary cystatins from the tick Ixodes scapularis and the effect of these inhibitors on the establishment of Borrelia burgdorferi infection in a murine model,"[{'name': 'M. Kotsyfakis', 'affiliation': 'Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic, Ceske Budejovice, Czech Republic'}]",10.1111/j.1365-2958.2010.07220.x,2010,51,Article,,,,,1
64,Molecular Microbiology,Inactivation of a putative flagellar motor switch protein FliG1 prevents Borrelia burgdorferi from swimming in highly viscous media and blocks its infectivity,"[{'name': 'C. Li', 'affiliation': 'University at Buffalo, The State University of New York, Buffalo, United States'}]",10.1111/j.1365-2958.2010.07078.x,2010,51,Article,,,,,1
65,Ecology,"Community ecology and disease risk: Lizards, squirrels, and the Lyme disease spirochete in California, USA","[{'name': 'D.J. Salkeld', 'affiliation': 'Department of Environmental Science, Policy, and Management, Berkeley, United States'}]",10.1890/08-2106.1,2010,51,Article,,,,,1
66,FEMS Immunology and Medical Microbiology,"Identification and molecular characterization of a cyclic-di-GMP effector protein, PlzA (BB0733): Additional evidence for the existence of a functional cyclic-di-GMP regulatory network in the Lyme disease spirochete, Borrelia burgdorferi","[{'name': 'J. Freedman', 'affiliation': 'Medical College of Virginia, Richmond, United States'}]",10.1111/j.1574-695X.2009.00635.x,2010,51,Article,,,,,1
67,"Brain, Behavior, and Immunity",Anti-neural antibody reactivity in patients with a history of Lyme borreliosis and persistent symptoms,"[{'name': 'A. Chandra', 'affiliation': 'Cornell University, Ithaca, United States'}]",10.1016/j.bbi.2010.03.002,2010,50,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0889159110000553,,,1
68,Journal of Infection,"Lsa63, a newly identified surface protein of Leptospira interrogans binds laminin and collagen IV","[{'name': 'M. Vieira', 'affiliation': 'Instituto Butantan, Sao Paulo, Brazil'}]",10.1016/j.jinf.2009.10.047,2010,50,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0163445309003417,,,1
69,Ticks and Tick-borne Diseases,Diversity of Borrelia genospecies in Ixodes ricinus ticks in a Lyme borreliosis endemic area in Switzerland identified by using new probes for reverse line blotting,"[{'name': 'L. Gern', 'affiliation': 'Université de Neuchâtel, Neuchatel, Switzerland'}]",10.1016/j.ttbdis.2009.11.001,2010,49,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X0900003X,,,1
70,Clinical and Vaccine Immunology,"Rapid, simple, quantitative, and highly sensitive antibody detection for lyme disease","[{'name': 'P. Burbelo', 'affiliation': 'National Institute of Dental and Craniofacial Research (NIDCR), Bethesda, United States'}]",10.1128/CVI.00476-09,2010,48,Article,,,,,1
71,Molecular Immunology,Binding of the complement inhibitor C4b-binding protein to Lyme disease borreliae,"[{'name': 'J. Pietikäinen', 'affiliation': 'Haartman Institute, Helsinki, Finland'}]",10.1016/j.molimm.2009.11.028,2010,48,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0161589009008554,,,1
72,Infection and Immunity,Characterization of a conditional bosR mutant in Borrelia burgdorferi,"[{'name': 'J.A. Hyde', 'affiliation': 'Texas A and M Health Science Center, College Station, United States'}]",10.1128/IAI.01018-09,2010,48,Article,,,,,1
73,PLoS ONE,Human integrin α<inf>3</inf>β<inf>1</inf> regulates TLR2 recognition of lipopeptides from endosomal compartments,"[{'name': 'M.L. Marre', 'affiliation': 'Tufts University, Medford, United States'}]",10.1371/journal.pone.0012871,2010,47,Article,,,,,1
74,Proceedings of the National Academy of Sciences of the United States of America,"The bba64 gene of Borrelia burgdorferi, the Lyme disease agent, is critical for mammalian infection via tick bite transmission","[{'name': 'R. Gilmore', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1073/pnas.1000268107,2010,47,Article,,,,,1
75,Arthritis and Rheumatism,Treg cell numbers and function in patients with antibiotic-refractory or antibiotic-responsive lyme arthritis,"[{'name': 'S. Shen', 'affiliation': 'Massachusetts General Hospital, Boston, United States'}]",10.1002/art.27468,2010,45,Article,,,,,1
76,Journal of Medical Microbiology,A comparative analysis of molecular markers for the detection and identification of Borrelia spirochaetes in Ixodes ricinus,"[{'name': 'B. Wodecka', 'affiliation': 'Uniwersytet Szczecinski, Szczecin, Poland'}]",10.1099/jmm.0.013508-0,2010,45,Article,,,,,1
77,Journal of Infectious Diseases,BBA52 facilitates Borrelia burgdorferi transmission from feeding ticks to murine hosts,"[{'name': 'M. Kumar', 'affiliation': 'University of Maryland, College Park, College Park, United States'}]",10.1086/651172,2010,44,Article,,,,,1
79,Journal of Structural Biology,Distinct in situ structures of the Borrelia flagellar motor,"[{'name': 'M. Kudryashev', 'affiliation': 'Universität Heidelberg, Heidelberg, Germany'}]",10.1016/j.jsb.2009.08.008,2010,44,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1047847709002354,,,1
