,publication,title,authors,doi,year,cites,type,abstract,abstractLength,pubmed,gscholar,crossref,scopus,publicationLanguage,titleLanguage,abstractLanguage
0,clinical infectious diseases,Minocycline versus Doxycycline in the Treatment of Lyme Neuroborreliosis,['Burke A. Cunha'],10.1086/313604,2000.0,22,journal-article,,,0,0,1,0,en,en,
1,clinical infectious diseases,Adverse Effects of Minocycline versus Doxycycline in the Treatment of Lyme Neuroborreliosis,"['L. Dotevall', 'L. Hagberg']",10.1086/313674,2000.0,8,journal-article,,,0,0,1,0,en,en,
2,clinical infectious diseases,Possibility of the Use of Oral Long-Acting Tetracyclines in the Treatment of Lyme Neuroborreliosis,"['Andrea De Maria', 'Alberto Primavera']",10.1086/314012,2000.0,1,journal-article,,,0,0,1,0,en,en,
3,clinical infectious diseases,Death from Inappropriate Therapy for Lyme Disease,"['Robin Patel', 'Karen\xa0L. Grogg', 'William\xa0D. Edwards', 'Alan\xa0J. Wright', 'Nina\xa0M. Schwenk']",10.1086/318138,2000.0,79,journal-article,,,0,0,1,0,en,en,
4,clinical infectious diseases,Reactogenicity and Immunogenicity of a Lyme Disease Vaccine in Children 2–5 Years Old,"['J. Beran', 'N. De Clercq', 'I. Dieussaert', 'C. Van Hoecke']",10.1086/317479,2000.0,18,journal-article,,,0,0,1,0,en,en,
5,clinical infectious diseases,Practice Guidelines for the Treatment of Lyme Disease,"['Gary P. Wormser', 'Robert B. Nadelman', 'Raymond J. Dattwyler', 'David T. Dennis', 'Eugene D. Shapiro', 'Allen C. Steere', 'Thomas J. Rush', 'Daniel W. Rahn', 'Patricia K. Coyle', 'David H. Persing', 'Durland Fish', 'Benjamin J. Luft']",10.1086/314053,2000.0,223,journal-article,,,0,0,1,0,en,en,
6,clinical infectious diseases,Practice Guidelines for the Treatment of Lyme Disease,"['Gary\xa0P. Wormser', 'Robert\xa0B. Nadelman', 'Raymond\xa0J. Dattwyler', 'David\xa0T. Dennis', 'Eugene\xa0D. Shapiro', 'Allen\xa0C. Steere', 'Thomas\xa0J. Rush', 'Daniel\xa0W. Rahn', 'Patricia\xa0K. Coyle', 'David\xa0H. Persing', 'Durland Fish', 'Benjamin\xa0J. Luft']",10.1086/512462,2000.0,5,journal-article,,,0,0,1,0,en,en,
7,clinical infectious diseases,Laboratory Diagnostic Techniques for Patients with Early Lyme Disease Associated with Erythema Migrans: A Comparison of Different Techniques,"['John Nowakowski', 'Ira Schwartz', 'Dionysios Liveris', 'Guiqing Wang', 'Maria\xa0E. Aguero‐Rosenfeld', 'Gary Girao', 'Donna McKenna', 'Robert\xa0B. Nadelman', 'L.\xa0Frank Cavaliere', 'Gary\xa0P. Wormser']",10.1086/324490,2001.0,92,journal-article,,,0,0,1,0,en,en,
8,clinical infectious diseases,False‐Positive Results of PCR Testing for Lyme Disease,"['Philip\xa0J. Molloy', 'David\xa0H. Persing', 'Victor\xa0P. Berardi']",10.1086/321911,2001.0,31,journal-article,,,0,0,1,0,en,en,
9,clinical infectious diseases,"Lyme Borreliosis: Biology, Epidemiology, and Control",['R. P. Smith'],10.1086/379778,2003.0,0,journal-article,,,0,0,1,0,en,en,
10,clinical infectious diseases,Lyme Disease Complicated with Pseudotumor Cerebri,"['J. A. Nord', 'D. Karter']",10.1086/375691,2003.0,13,journal-article,,,0,0,1,0,en,en,
11,clinical infectious diseases,Coinfection in Patients with Lyme Disease: How Big a Risk?,"['R. B. Stricker', 'A. Gaito', 'N. S. Harris', 'J. J. Burrascano']",10.1086/378893,2003.0,5,journal-article,,,0,0,1,0,en,en,
12,clinical infectious diseases,"Rash Decisions: Lyme Disease, or Not?",['D. T. Dennis'],10.1086/432958,2005.0,13,journal-article,,,0,0,1,0,en,en,
13,clinical infectious diseases,Lyme Meningoradiculitis and Myositis after Allogeneic Hematopoietic Stem Cell Transplantation,"['Martín Rodríguez', 'Sherry Chou', 'David C. Fisher', 'Umberto De Girolami', 'Anthony A. Amato', 'Francisco M. Marty']",10.1086/498154,2005.0,8,journal-article,,,0,0,1,0,en,en,
14,clinical infectious diseases,False-Positive Serological Test Results for Lyme Disease in a Patient with Acute Herpes Simplex Virus Type 2 Infection,"['Lynne Strasfeld', 'Lauri Romanzi', 'Richard H. Seder', 'Victor P. Berardi']",10.1086/498319,2005.0,2,journal-article,,,0,0,1,0,en,en,
15,clinical infectious diseases,Lyme-Like Illness Currently Deserves Lyme-Like Treatment,['E. J. Masters'],10.1086/500018,2006.0,8,journal-article,,,0,0,1,0,en,en,
16,clinical infectious diseases,Rash Decisions about Southern Tick--Associated Rash Illness and Lyme Disease,"['S. E. Phillips', 'J. J. Burrascano', 'N. S. Harris', 'R. Horowitz', 'L. Johnson', 'P. V. Smith', 'R. B. Stricker']",10.1086/499111,2006.0,1,journal-article,,,0,0,1,0,en,en,
17,clinical infectious diseases,Lyme Disease Guidelines--It's Time to Move Forward,['S. T. Donta'],10.1086/512979,2007.0,6,journal-article,,,0,0,1,0,en,en,
18,clinical infectious diseases,Counterpoint: Long-Term Antibiotic Therapy Improves Persistent Symptoms Associated with Lyme Disease,['R. B. Stricker'],10.1086/518853,2007.0,70,journal-article,,,0,0,1,0,en,en,
19,clinical infectious diseases,Concerns Regarding the Infectious Diseases Society of America Lyme Disease Clinical Practice Guidelines,['J. M. Wilson'],10.1086/513030,2007.0,2,journal-article,,,0,0,1,0,en,en,
20,clinical infectious diseases,Accuracy of Recommendations in the Infectious Diseases Society of America Clinical Practice Guidelines for Lyme Disease,['A. A. Pollock'],10.1086/512980,2007.0,1,journal-article,,,0,0,1,0,en,en,
21,clinical infectious diseases,Lyme Disease and the Politics of Public Advocacy,['Edward McSweegan'],10.1086/595684,2008.0,3,journal-article,,,0,0,1,0,en,en,
22,clinical infectious diseases,Editorial Commentary:Laboratory Testing for Lyme Disease: Time for a Change?,['Arthur Weinstein'],10.1086/589316,2008.0,13,journal-article,,,0,0,1,0,en,en,
23,clinical infectious diseases,Serologic Tests for Lyme Disease: More Smoke and Mirrors,"['Raphael\xa0B. Stricker', 'Lorraine Johnson']",10.1086/592121,2008.0,7,journal-article,,,0,0,1,0,en,en,
24,clinical infectious diseases,Reinfection versus Relapse in Patients with Lyme Disease: Not Enough Evidence,"['R. B. Stricker', 'A. F. Corson', 'L. Johnson']",10.1086/528871,2008.0,2,journal-article,,,0,0,1,0,en,en,
25,clinical infectious diseases,Prospective Study of Serologic Tests for Lyme Disease,"['Allen\xa0C. Steere', 'Gail McHugh', 'Nitin Damle', 'Vijay\xa0K. Sikand']",10.1086/589242,2008.0,174,journal-article,,,0,0,1,0,en,en,
26,clinical infectious diseases,Five Cases of Paralytic Strabismus as a Rare Feature of Lyme Disease,"['Arnaud Sauer', 'Yves Hansmann', 'Benoît Jaulhac', 'Tristan Bourcier', 'Claude Speeg‐Schatz']",10.1086/597041,2009.0,8,journal-article,,,0,0,1,0,en,en,
27,clinical infectious diseases,A Commentary on the Treatment of Early Lyme Disease,['Raymond\xa0J. Dattwyler'],10.1086/649921,2010.0,5,journal-article,,,0,0,1,0,en,en,
28,clinical infectious diseases,Long‐Term Outcomes in Patients with Early Lyme Disease: More False Hope?,"['Raphael\xa0B. Stricker', 'Lorraine Johnson']",10.1086/653005,2010.0,0,journal-article,,,0,0,1,0,en,en,
29,clinical infectious diseases,Final Report of the Lyme Disease Review Panel of the Infectious Diseases Society of America: A Pyrrhic Victory?,"['Lorraine Johnson', 'Raphael\xa0B. Stricker']",10.1086/656690,2010.0,6,journal-article,,,0,0,1,0,en,en,
30,clinical infectious diseases,Death Due to Community‐AssociatedClostridium difficilein a Woman Receiving Prolonged Antibiotic Therapy for Suspected Lyme Disease,"['Stacy\xa0M. Holzbauer', 'Melissa\xa0M. Kemperman', 'Ruth Lynfield']",10.1086/654808,2010.0,29,journal-article,,,0,0,1,0,en,en,
31,clinical infectious diseases,Response of the Infectious Diseases Society of America Lyme Disease Review Panel to Johnson and Stricker,"['Paul\xa0M. Lantos', 'William\xa0A. Charini', 'Gerald Medoff', 'Manuel\xa0H. Moro', 'David\xa0M. Mushatt', 'Jeffrey Parsonnet', 'John\xa0W. Sanders', 'Carol\xa0J. Baker']",10.1086/656692,2010.0,0,journal-article,,,0,0,1,0,en,en,
32,clinical infectious diseases,The Need for a New Lyme Disease Vaccine,,10.1093/cid/ciq124,2011.0,0,journal-article,,,0,0,1,0,en,en,
33,clinical infectious diseases,Vaccines against Lyme Disease: What Happened and What Lessons Can We Learn?,['Gregory A. Poland'],10.1093/cid/ciq116,2011.0,75,journal-article,,,0,0,1,0,en,en,
34,clinical infectious diseases,Correcting a Public Health Fiasco: The Need for a New Vaccine against Lyme Disease,['Stanley A. Plotkin'],10.1093/cid/ciq119,2011.0,38,journal-article,,,0,0,1,0,en,en,
35,clinical infectious diseases,The Lyme Disease Vaccine—A Public Health Perspective,"['Angela K. Shen', 'Paul S. Mead', 'Charles B. Beard']",10.1093/cid/ciq115,2011.0,43,journal-article,,,0,0,1,0,en,en,
36,clinical infectious diseases,Relationship between Immunity to Borrelia burgdorferi Outer-surface Protein A (OspA) and Lyme Arthritis,"['Allen C. Steere', 'Elise E. Drouin', 'Lisa J. Glickstein']",10.1093/cid/ciq117,2011.0,54,journal-article,,,0,0,1,0,en,en,
37,clinical infectious diseases,A New Approach to a Lyme Disease Vaccine,"['Ian Livey', ""Maria O'Rourke"", 'Andreas Traweger', 'Helga Savidis-Dacho', 'Brian A. Crowe', 'P. Noel Barrett', 'Xiaohua Yang', 'John J. Dunn', 'Benjamin J. Luft']",10.1093/cid/ciq118,2011.0,28,journal-article,,,0,0,1,0,en,en,
38,clinical infectious diseases,"Two-Tiered Antibody Testing for Lyme Disease With Use of 2 Enzyme Immunoassays, a Whole-Cell Sonicate Enzyme Immunoassay Followed by a VlsE C6 Peptide Enzyme Immunoassay","['J. A. Branda', 'K. Linskey', 'Y. A. Kim', 'A. C. Steere', 'M. J. Ferraro']",10.1093/cid/cir464,2011.0,101,journal-article,,,0,0,1,0,en,en,
