,publication,title,authors,doi,year,cites,type,abstract,abstractLength,pubmed,gscholar,crossref,scopus,publicationLanguage,titleLanguage,abstractLanguage
0,ticks and tick-borne diseases,"Subclinical Lyme borreliosis is common in south-eastern Sweden and may be distinguished from Lyme neuroborreliosis by sex, age and specific immune marker patterns","['Hanna Carlsson', 'Christina Ekerfelt', 'Anna J. Henningsson', 'Lars Brudin', 'Ivar Tjernberg']",10.1016/j.ttbdis.2018.02.011,2018.0,3,journal-article,"Background. Determinants of a subclinical course of Lyme borreliosis (LB) remain largely unknown. The aim of this study was to assess the extent, sex and age profiles of subclinical Borrelia seroconversion in a LB endemic area in Sweden and to map blood cellular Borrelia- specific immune marker patterns in individuals with a previous subclinical LB course compared with patients previously diagnosed with Lyme neuroborreliosis (LNB).",435,0,0,1,0,en,en,
1,ticks and tick-borne diseases,The oligopeptide ABC transporter OppA4 negatively regulates the virulence factor OspC production of the Lyme disease pathogen,"['Bibi Zhou', 'Youyun Yang', 'Tong Chen', 'Yongliang Lou', 'X. Frank Yang']",10.1016/j.ttbdis.2018.06.006,2018.0,7,journal-article,"Borrelia burgdorferi sensu lato, the agent of Lyme disease, exists in nature through a complex enzootic life cycle that involves both ticks and mammals. The B. burgdorferi genome encodes five Oligopeptide ABC transporters (Opp) that are predicted to be involve in transport of various nutrients. Previously, it was reported that OppA5 is important for the optimal production of OspC, a major virulence factor of B. burgdorferi . In this study, possible role of another Oligopeptide ABC transporter, OppA4 in ospC expression was investigated by construction of an oppA4 deletion mutant and the complemented strain. Inactivation of oppA4 resulted an increased production of OspC, suggesting that OppA4 has a negative impact on ospC expression. Expression of ospC is controlled by Rrp2-RpoN-RpoS, the central pathway essential for mammal infection. We showed that increased ospC expression in the oppA4 mutant was due to an increased rpoS expression. We then further investigated how OppA4 negatively regulates this pathway. Two regulators, BosR and BadR, are known to positively and negatively, respectively, regulate the Rrp2-RpoN-RpoS pathway. We found that deletion of oppA4 resulted in an increased level of BosR. Previous reports showed that bosR is mainly regulated at the post-transcriptional level by other factors. However, OppA4 appears to negatively regulate bosR expression at the transcriptional level. The finding of OppA4 involved in regulation of the Rrp2-RpoN-RpoS pathway further reinforces the importance of nutritional virulence to the enzootic cycle of B. burgdorferi .",1588,0,0,1,0,en,en,
2,ticks and tick-borne diseases,Neuroborreliosis and acute encephalopathy: The use of CXCL13 as a biomarker in CNS manifestations of Lyme borreliosis,"['Matthias Karrasch', 'Volker Fingerle', 'Katharina Boden', 'Andreas Darr', 'Michael Baier', 'Eberhard Straube', 'Igor Nenadic']",10.1016/j.ttbdis.2017.12.008,2018.0,2,journal-article,"We report the case of an 80-year-old patient with acute onset confusion initially suspected to reflect delirium in incipient Alzheimer’s disease. Cerebrospinal fluid tests revealed an unusually severe form of neuroborreliosis, which resolved following antibiotic treatment. This was mirrored in the measurement of CXCL13, which is suggested as a complementary biomarker. Clinical implications for screening, differential diagnosis and treatment are discussed.",459,0,0,1,0,en,en,
3,ticks and tick-borne diseases,"The role of Ixodes scapularis, Borrelia burgdorferi and wildlife hosts in Lyme disease prevalence: A quantitative review","['Samniqueka J. Halsey', 'Brian F. Allan', 'James R. Miller']",10.1016/j.ttbdis.2018.04.006,2018.0,10,journal-article,"Due to the ongoing expansion of Ixodes scapularis (blacklegged tick) throughout the northeastern and midwestern United States, there is need to identify the role wildlife hosts play in the establishment and maintenance of tick populations. To quantify and synthesize the patterns of I. scapularis and Borrelia burgdorferi sensu stricto and sensu lato prevalence relative to wildlife hosts, we reviewed the findings of independent studies conducted throughout the United States. We performed a comprehensive literature search from 1970 to 2017 using the ISS Web of Science Core Collection and the keywords “ Ixodes scapularis,” “Ixodes dammini” and “ Borrelia burgdorferi.” We identified 116 studies for inclusion in our meta-analysis, with 187,414 individual wildlife hosts captured and examined for I. scapularis and either the host or ticks collected subsequently tested for B. burgdorferi. We found that only 13% of the wildlife mammals sampled comprised species other than Odocoileus virginianus (white-tailed deer) and Peromyscus leucopus (white-footed mouse). To examine whether there were regional differences between the Northeast, Midwest and the Southeast U.S. in I. scapularis infestation rates on wildlife hosts, we used general linear models (glm), with post hoc pairwise comparisons. In most cases, detection of I. scapularis and B. burgdorferi was significantly higher in the Northeast than the Midwest. Using data on host-specific I. scapularis infestation prevalence, B. burgdorferi prevalence in feeding larvae, and host permissiveness, we developed an epizootiological model to determine the relative contributions of individual hosts to B. burgdorferi -infected nymphs. Our model provides additional evidence that wildlife hosts other than P. leucopus may contribute more to Lyme disease risk than commonly thought. To aid in understanding the ecology of Lyme disease, we propose that additional studies sample non- Peromyscus spp. hosts to obtain more detailed tick and pathogen infestation and infection estimates, respectively, for these less frequently sampled wildlife hosts.",2100,0,0,1,0,en,en,
4,ticks and tick-borne diseases,CXCL13 concentrations in cerebrospinal fluid of patients with Lyme neuroborreliosis and other neurological disorders determined by Luminex and ELISA,"['Mateusz Markowicz', 'Anna-Margarita Schötta', 'Michael Kundi', 'Petra Bogovič', 'Katarina Ogrinc', 'Franc Strle', 'Gerold Stanek']",10.1016/j.ttbdis.2018.04.008,2018.0,19,journal-article,"The aims of the study were to determine and compare the concentration of CXCL13 in cerebrospinal fluid (CSF) of patients with Lyme neuroborreliosis (LNB) and various other neurological disorders applying a Luminex based assay and ELISA, and to find factors associated with CXCL13 concentration. CSF samples obtained from four clinically well-defined groups of patients (proven LNB, suspected LNB, tick-borne encephalitis (TBE), and aseptic meningitis/meningoencephalitis other than TBE) – 25 samples per group – were analyzed. The performance of the Luminex recomBead CXCL13 assay (Microgen, Neuried, Germany) and ELISA (Euroimmun, Lübeck, Germany) was assessed by receiver operating characteristics. CXCL13 cut-off values were presented as functions of CSF lymphocyte/monocyte counts. Demographic variables, CSF findings, and history of erythema migrans were assessed as possible predictors for CXCL13 CSF concentrations by a general linear model. The calculated cut-off values determined by the maximum of the Youden index were >131 pg/mL for recomBead and >259 pg/mL for the ELISA. RecomBead showed a sensitivity of 88% (68.8–97.5%) and a specificity of 94% (83.5–98.7%). For the ELISA the corresponding values were 84% (63.9–95.5%) and 98% (89.4–99.9%). The CXCL13 concentration positively correlated with CSF lymphocyte/monocyte count and Borrelia -specific intrathecal antibody index ( p < 0.05). High CXCL13 concentrations were only found in the group with proven LNB. CXCL13 levels above cut-off value were established in some patients with viral meningitis/meningoencephalitis but were not detected in patients with suspected LNB without pleocytosis. Applying a linearized cut-off of the CXCL13 concentration in the CSF which is dependent on the CSF cell count is a novel approach in the laboratory diagnosis of LNB.",1825,0,0,1,0,en,en,
5,ticks and tick-borne diseases,Low probability of a dilution effect for Lyme borreliosis in Belgian forests,"['Sanne C. Ruyts', 'Dries Landuyt', 'Evy Ampoorter', 'Dieter Heylen', 'Steffen Ehrmann', 'Elena C. Coipan', 'Erik Matthysen', 'Hein Sprong', 'Kris Verheyen']",10.1016/j.ttbdis.2018.04.016,2018.0,7,journal-article,"An increasing number of studies have investigated the consequences of biodiversity loss for the occurrence of vector-borne diseases such as Lyme borreliosis, the most common tick-borne disease in the northern hemisphere. As host species differ in their ability to transmit the Lyme borreliosis bacteria Borrelia burgdorferi s.l. to ticks, increased host diversity can decrease disease prevalence by increasing the proportion of dilution hosts, host species that transmit pathogens less efficiently. Previous research shows that Lyme borreliosis risk differs between forest types and suggests that a higher diversity of host species might dilute the contribution of small rodents to infect ticks with B. afzelii , a common Borrelia genospecies. However, empirical evidence for a dilution effect in Europe is largely lacking. We tested the dilution effect hypothesis in 19 Belgian forest stands of different forest types along a diversity gradient. We used empirical data and a Bayesian belief network to investigate the impact of the proportion of dilution hosts on the density of ticks infected with B. afzelii , and identified the key drivers determining the density of infected ticks, which is a measure of human infection risk. Densities of ticks and B. afzelii infection prevalence differed between forest types, but the model indicated that the density of infected ticks is hardly affected by dilution. The most important variables explaining variability in disease risk were related to the density of ticks. Combining empirical data with a model-based approach supported decision making to reduce tick-borne disease risk. We found a low probability of a dilution effect for Lyme borreliosis in a north-western European context. We emphasize that under these circumstances, Lyme borreliosis prevention should rather aim at reducing tick-human contact rate instead of attempting to increase the proportion of dilution hosts.",1928,0,0,1,0,en,en,
6,ticks and tick-borne diseases,Factors responsible for Ixodes ricinus nymph abundance: Are soil features indicators of tick abundance in a French region where Lyme borreliosis is endemic?,"['Valérie Goldstein', 'Nathalie Boulanger', 'Dominique Schwartz', 'Jean-Claude George', 'Damien Ertlen', 'Laurence Zilliox', 'Mickaël Schaeffer', 'Benoît Jaulhac']",10.1016/j.ttbdis.2018.03.013,2018.0,4,journal-article,"In Europe, the hard tick Ixodes ricinus (Acari: Ixodidae) is the main vector of Lyme borreliosis spirochetes ( Borrelia burgdorferi sensu lato group). A field study was conducted to evaluate the abundance of Ixodes nymphs in the French region of Alsace, where Lyme borreliosis is endemic, and to determine whether environmental factors such as soil moisture and composition may be associated with nymph abundance. In the ten sites studied, ticks were collected by drag sampling from March to October in 2013 and 2014. Temperature, relative humidity, saturation deficit, soil pH, humus composition and type of vegetation were recorded at each site. The abundance of I. ricinus was highly variable from one site to another. Inter-annual variations were also observed, since the nymph abundance were higher in 2013 than in 2014. This study shows that humus type can be indicative of nymph abundance. Three types of humus were observed: (1) moder, (2) mull, and (3) mull-moder humus. One of them, moder humus, which is characterized by a thick layer of fragmented leaves, was found in multivariate analyses to be strongly associated with the nymph abundance. This study demonstrates that factors such as saturation deficit do not suffice to explain the differences in nymph abundance among sites. The composition of the soil and especially the type of humus should also be taken into consideration when assessing acarological risk.",1427,0,0,1,0,en,en,
7,ticks and tick-borne diseases,Identification of Lyme borreliae proteins promoting vertebrate host blood-specific spirochete survival in Ixodes scapularis nymphs using artificial feeding chambers,"['Thomas Hart', 'Xiuli Yang', 'Utpal Pal', 'Yi-Pin Lin']",10.1016/j.ttbdis.2018.03.033,2018.0,10,journal-article,"Lyme borreliosis, the most common vector-borne illness in Europe and the United States, is caused by spirochetes of the Borrelia burgdorferi sensu lato complex and transmitted by Ixodes ticks. In humans, the spirochetes disseminate from the tick bite site to multiple tissues, leading to serious clinical manifestations. The ability of spirochetes to survive in ticks during blood feeding is thought to be essential for Lyme borreliae to be transmitted to different vertebrate hosts. This ability is partly attributed to several B. burgdorferi proteins, including BBA52 and Lp6.6, which promote spirochete survival in nymphal ticks feeding on mice. One of the strategies to identify such proteins without using live animals is to feed B. burgdorferi -infected ticks on blood via artificial feeding chambers. In previous studies, ticks were only fed on bovine blood in the feeding chambers. In this study, we used this chamber model and showed that I. scapularis ticks will not only acquire bovine blood but human and quail blood as well. The latter two are the incidental host and an avian host of Lyme borreliae, respectively. We also investigated the roles that BBA52 and Lp6.6 play in promoting spirochete survival in nymphal ticks fed on human or quail blood. After feeding on human blood, spirochete burdens in ticks infected with an lp6.6 -deficient B. burgdorferi were significantly reduced, while bba52- deficient spirochete burdens in ticks remained unchanged, similar to the wild-type strain. No strain showed a change in spirochete burdens in ticks fed on quail blood. These results indicate that Lp6.6 plays a role for B. burgdorferi in nymphs fed on human but not quail blood. Such information also demonstrates that the artificial feeding chamber is a powerful tool to identify B. burgdorferi proteins that promote vertebrate host blood-specific spirochete survival in I. scapularis ticks.",1903,0,0,1,0,en,en,
8,ticks and tick-borne diseases,Reduction in human Lyme neuroborreliosis associated with a major epidemic among roe deer,"['Nanna Skaarup Andersen', 'Sigurdur Skarphédinsson', 'Fredrikke C Knudtzen', 'Carsten Riis Olesen', 'Thøger Gorm Jensen', 'Per Moestrup Jensen']",10.1016/j.ttbdis.2017.12.002,2018.0,5,journal-article,"Lyme neuroborreliosis is the most severe clinical manifestation of Lyme borreliosis. In most of Denmark, and also Europe, the overall prevalence of Lyme borreliosis seems to be stabilising. This is not the case on the island of Funen, Denmark, where the number of human Lyme neuroborreliosis cases has markedly declined throughout the last decade. We propose the reason for the decline is a major epidemic among roe deer, killing almost half of their population, resulting in a reduction in the tick population which make it less likely to get a tick bite and therefore to contract Lyme neuroborreliosis. This is the first time such a relationship is described as a naturally occurring phenomenon in Europe.",707,0,0,1,0,en,en,
9,ticks and tick-borne diseases,A minority of children diagnosed with Lyme disease recall a preceding tick bite,"['Lise E. Nigrovic', 'Desiree N. Neville', 'Fran Balamuth', 'Jonathan E. Bennett', 'Michael N. Levas', 'Aris C. Garro']",10.1016/j.ttbdis.2019.02.015,2019.0,5,journal-article,"Of 1770 children undergoing emergency department evaluation for Lyme disease, 362 (20.5%) children had Lyme disease. Of those with an available tick bite history, only a minority of those with Lyme disease had a recognized tick bite (60/325; 18.5%, 95% confidence interval 14.6–23.0%). Lack of a tick bite history does not reliably exclude Lyme disease.",353,0,0,1,0,en,en,
